institution,academic_year,programme,established,graduate,registered,enrolled,active
International Hellenic University,2020-2021,Forestry and Natural Environment,07/05/2019,5,336,170,336
International Hellenic University,2020-2021,Creative Design and Clothing,07/05/2019,8,291,148,291
International Hellenic University,2020-2021,Supply Chain Management,07/05/2019,12,405,231,386
International Hellenic University,2020-2021,"Organization Management, Marketing and Tourism",07/05/2019,151,375,367,375
International Hellenic University,2020-2021,Management Science and Technology,07/05/2019,0,551,380,551
International Hellenic University,2020-2021,Food Science and Technology,07/05/2019,31,329,158,329
International Hellenic University,2020-2021,Nutrition and Dietetics Sciences,07/05/2019,0,448,245,448
International Hellenic University,2020-2021,Interior Architecture,07/05/2019,0,126,109,126
International Hellenic University,2020-2021,Accounting and Information Systems,07/05/2019,122,351,186,351
International Hellenic University,2020-2021,Accounting and Finance,07/05/2019,0,516,402,516
International Hellenic University,2020-2021,Midwifery,07/05/2019,94,524,685,524
International Hellenic University,2020-2021,Production and Management Engineering,07/05/2019,17,380,233,380
International Hellenic University,2020-2021,Environmental Engineering,07/05/2019,0,244,120,244
International Hellenic University,2020-2021,Informatics and Electronic Systems Engineering,05/07/2019,11,416,237,416
International Hellenic University,2020-2021,"Informatics, Computers and Telecommunications Engineering",07/05/2019,0,196,98,196
International Hellenic University,2020-2021,Surveying and Geoinformatics Engineering,07/05/2019,0,188,102,188
International Hellenic University,2020-2021,Mechanical Engineering,07/05/2019,7,228,109,228
International Hellenic University,2020-2021,Nursing,07/05/2019,11,222,136,216
International Hellenic University,2020-2021,Nursing,07/05/2019,92,340,275,339
International Hellenic University,2020-2021,Economic Sciences,07/05/2019,0,482,333,478
International Hellenic University,2020-2021,Business Administration,07/05/2019,0,615,325,615
International Hellenic University,2020-2021,Informatics,07/05/2019,0,372,273,372
International Hellenic University,2020-2021,Civil Engineering,07/05/2019,0,158,119,158
International Hellenic University,2020-2021,Physics,07/05/2019,0,239,205,239
International Hellenic University,2020-2021,Physiotherapy,07/05/2019,212,495,176,443
International Hellenic University,2020-2021,Chemistry,07/05/2019,0,184,207,184
International Hellenic University,2020-2021,Aesthetics and Cosmetology,12/10/1984,79,593,0,324
International Hellenic University,2020-2021,Landscape Architecture,17/09/2003,12,273,0,148
International Hellenic University,2020-2021,Library Science and Information Systems,27/03/1984,12,805,0,376
International Hellenic University,2020-2021,Forestry and Natural Environment Management,23/06/2005,29,874,0,423
International Hellenic University,2020-2021,Nutrition and Dietetics,27/11/1985,45,956,0,513
International Hellenic University,2020-2021,Business Administration,03/06/2013,108,1331,0,642
International Hellenic University,2020-2021,Business Administration,27/11/1985,182,1770,0,495
International Hellenic University,2020-2021,Business Administration,24/11/1983,135,2741,0,896
International Hellenic University,2020-2021,Supply Systems Management,17/09/2003,76,1280,1,566
International Hellenic University,2020-2021,Tourism Business and Hospitality Management,03/06/2013,94,1036,0,575
International Hellenic University,2020-2021,"Interior Architecture, Decoration and Object Design",12/03/2009,0,219,0,135
International Hellenic University,2020-2021,Electrical Engineering,24/11/1983,134,1611,0,637
International Hellenic University,2020-2021,Electronic Engineering,24/11/1983,57,1311,0,644
International Hellenic University,2020-2021,Medical Laboratories,12/11/1984,30,574,0,308
International Hellenic University,2020-2021,Accounting and Finance,03/06/2013,69,3369,0,2456
International Hellenic University,2020-2021,Accounting and Finance,24/11/1983,66,1795,151,762
International Hellenic University,2020-2021,Accounting and Finance,05/06/2013,176,2441,0,697
International Hellenic University,2020-2021,Midwifery,24/11/1983,5,393,0,369
International Hellenic University,2020-2021,Automation Engineering,09/03/1988,32,972,0,486
International Hellenic University,2020-2021,Informatics Engineering,09/03/1988,76,1495,0,867
International Hellenic University,2020-2021,Informatics Engineering,05/06/2013,119,1469,0,551
International Hellenic University,2020-2021,Informatics Engineering,06/09/1999,117,1607,0,480
International Hellenic University,2020-2021,Oil and Natural Gas Technology Engineering,14/10/1976,86,1530,0,604
International Hellenic University,2020-2021,Surveying and Geoinformatics Engineering,06/09/1999,59,1300,0,303
International Hellenic University,2020-2021,Mechanical Engineering,14/10/1976,46,1187,0,521
International Hellenic University,2020-2021,Mechanical Engineering,05/06/2013,58,1284,0,405
International Hellenic University,2020-2021,Vehicle Mechanical Engineering,09/03/1988,49,838,0,394
International Hellenic University,2020-2021,Nursing,28/09/1970,33,632,0,399
International Hellenic University,2020-2021,Nursing,10/05/2007,38,237,0,205
International Hellenic University,2020-2021,Oenology and Beverage Technology,12/03/2009,23,439,0,317
International Hellenic University,2020-2021,Civil Engineering,03/06/2013,87,950,0,450
International Hellenic University,2020-2021,Civil Engineering,05/06/2013,74,1351,0,313
International Hellenic University,2020-2021,Preschool Education,27/11/1985,23,316,0,255
International Hellenic University,2020-2021,Clothing Design and Technology,06/09/1999,15,1005,0,397
International Hellenic University,2020-2021,Food Technology,24/11/1983,29,1095,0,558
International Hellenic University,2020-2021,Agricultural Technologists,06/03/2013,132,2515,0,1007
International Hellenic University,2020-2021,Physiotherapy,24/11/1983,59,480,0,459
National and Kapodistrian University of Athens,2020-2021,Unknown,19/07/2019,0,23,23,23
National and Kapodistrian University of Athens,2020-2021,English Language and Literature,23/06/1951,263,4551,273,1026
National and Kapodistrian University of Athens,2020-2021,"Agricultural Development, Agrifood and Natural Resources Management",29/01/2019,0,150,105,150
National and Kapodistrian University of Athens,2020-2021,Aerospace Science and Technology,29/01/2019,0,267,107,267
National and Kapodistrian University of Athens,2020-2021,Biology,03/07/1970,140,1736,152,746
National and Kapodistrian University of Athens,2020-2021,French Language and Literature,16/07/1982,114,2242,121,583
National and Kapodistrian University of Athens,2020-2021,German Language and Literature,15/02/1977,83,1539,128,704
National and Kapodistrian University of Athens,2020-2021,Geology and Geoenvironment,03/07/1970,105,1970,151,741
National and Kapodistrian University of Athens,2020-2021,Port and Shipping Management,29/01/2019,0,395,227,395
National and Kapodistrian University of Athens,2020-2021,Business Administration,29/01/2019,0,308,130,308
National and Kapodistrian University of Athens,2020-2021,Preschool Education and Training,16/07/1983,266,1665,226,1030
National and Kapodistrian University of Athens,2020-2021,Communication and Mass Media,06/10/1989,158,1220,171,721
National and Kapodistrian University of Athens,2020-2021,Physical Education and Sports Science,12/04/1983,219,4791,362,1637
National and Kapodistrian University of Athens,2020-2021,Theater Studies,06/10/1989,79,1479,145,749
National and Kapodistrian University of Athens,2020-2021,Theology,16/07/1982,136,4401,255,1203
National and Kapodistrian University of Athens,2020-2021,Medicine,24/04/1837,363,3060,365,1979
National and Kapodistrian University of Athens,2020-2021,Spanish Language and Literature,01/10/2009,80,839,96,466
National and Kapodistrian University of Athens,2020-2021,History and Archaeology,24/04/1986,296,3749,290,1459
National and Kapodistrian University of Athens,2020-2021,History and Philosophy of Science,05/03/1993,87,1291,142,549
National and Kapodistrian University of Athens,2020-2021,Italian Language and Literature,01/10/2009,66,876,81,481
National and Kapodistrian University of Athens,2020-2021,Social Theology and Religious Studies,18/05/1977,166,3176,316,1340
National and Kapodistrian University of Athens,2020-2021,Sociology,29/01/2019,0,254,116,254
National and Kapodistrian University of Athens,2020-2021,Mathematics,04/06/1904,402,5652,315,1574
National and Kapodistrian University of Athens,2020-2021,Music Studies,06/10/1989,53,1001,106,588
National and Kapodistrian University of Athens,2020-2021,Law,24/04/1837,698,6842,715,3344
National and Kapodistrian University of Athens,2020-2021,Nursing,22/08/1983,163,1180,227,728
National and Kapodistrian University of Athens,2020-2021,Dentistry,22/09/1916,117,1127,153,728
National and Kapodistrian University of Athens,2020-2021,Economic Sciences,27/08/1982,356,7952,452,2001
National and Kapodistrian University of Athens,2020-2021,Primary Education Pedagogy,07/09/1983,398,2509,372,1508
National and Kapodistrian University of Athens,2020-2021,Secondary Education Pedagogy Department,29/01/2019,36,555,263,555
National and Kapodistrian University of Athens,2020-2021,Informatics and Telecommunications,16/06/1989,204,2618,258,1357
National and Kapodistrian University of Athens,2020-2021,Political Science and Public Administration,11/06/1981,391,4297,296,1300
National and Kapodistrian University of Athens,2020-2021,Russian Language and Literature and Slavic Studies,31/07/2007,47,587,98,502
National and Kapodistrian University of Athens,2020-2021,Digital Industry Technologies,29/01/2019,0,469,236,469
National and Kapodistrian University of Athens,2020-2021,Turkish Studies and Modern Asian Studies,02/03/2004,23,1444,133,658
National and Kapodistrian University of Athens,2020-2021,Pharmacy,12/08/1838,146,1662,193,908
National and Kapodistrian University of Athens,2020-2021,Philology,18/10/1984,529,3249,396,1669
National and Kapodistrian University of Athens,2020-2021,Philosophy,29/01/2019,21,529,343,529
National and Kapodistrian University of Athens,2020-2021,"Philosophy, Pedagogy and Psychology",01/09/2019,170,2091,0,475
National and Kapodistrian University of Athens,2020-2021,Physics,23/03/1932,171,3920,281,1383
National and Kapodistrian University of Athens,2020-2021,Chemistry,27/04/1918,167,1816,175,690
National and Kapodistrian University of Athens,2020-2021,Digital Arts and Cinema,29/01/2019,0,212,105,212
National and Kapodistrian University of Athens,2020-2021,Psychology,03/06/2013,267,2597,251,2105
National and Kapodistrian University of Athens,2020-2021,Electrical Engineering,01/09/2019,46,2839,0,627
National and Kapodistrian University of Athens,2020-2021,Accounting and Finance,01/09/2019,228,2305,0,1011
National and Kapodistrian University of Athens,2020-2021,Automation Engineering,01/09/2019,55,1577,0,539
National and Kapodistrian University of Athens,2020-2021,Aircraft Technology Engineering,01/09/2019,62,887,0,408
National and Kapodistrian University of Athens,2020-2021,Mechanical Engineering,01/09/2019,37,728,0,527
National Technical University of Athens,2020-2021,Agricultural and Surveying Engineering - Geoinformatics Engineering,30/10/1917,87,1429,137,810
National Technical University of Athens,2020-2021,Architectural Engineering,30/10/1917,178,1746,168,1212
National Technical University of Athens,2020-2021,Applied Mathematics and Physical Sciences,01/09/1999,104,1794,199,1067
National Technical University of Athens,2020-2021,Electrical and Computer Engineering,30/10/1917,352,4722,403,2643
National Technical University of Athens,2020-2021,Mining - Metallurgical Engineering,13/08/1975,110,937,101,560
National Technical University of Athens,2020-2021,Mechanical Engineering,30/10/1917,167,3798,225,1387
National Technical University of Athens,2020-2021,Naval Architects and Mechanical Engineering,27/08/1982,83,1338,123,762
National Technical University of Athens,2020-2021,Civil Engineering,20/06/1887,160,2493,186,1341
National Technical University of Athens,2020-2021,Chemical Engineering,30/10/1917,175,1708,185,991
Hellenic Open University,2020-2021,Unknown,30/01/2018,0,1821,823,1821
Hellenic Open University,2020-2021,Unknown,21/03/2018,0,686,328,686
Hellenic Open University,2020-2021,Unknown,11/12/1998,827,5024,816,4221
Hellenic Open University,2020-2021,Unknown,11/12/1998,44,244,38,171
Hellenic Open University,2020-2021,Unknown,11/12/1998,156,2014,386,1378
Hellenic Open University,2020-2021,Unknown,11/12/1998,31,445,71,240
Hellenic Open University,2020-2021,Unknown,11/12/1998,534,2720,342,2055
Hellenic Open University,2020-2021,Unknown,11/12/1998,386,2017,214,1341
Hellenic Mediterranean University,2020-2021,Agriculture,07/05/2019,0,404,223,403
Hellenic Mediterranean University,2020-2021,Business and Tourism Management,07/05/2019,0,587,346,587
Hellenic Mediterranean University,2020-2021,Management Science and Technology,07/05/2019,11,365,226,365
Hellenic Mediterranean University,2020-2021,Nutrition and Dietetics Sciences,07/05/2019,0,189,149,189
Hellenic Mediterranean University,2020-2021,Electrical and Computer Engineering,07/05/2019,0,349,255,349
Hellenic Mediterranean University,2020-2021,Electronic Engineering,07/05/2019,0,301,182,301
Hellenic Mediterranean University,2020-2021,Social Work,07/05/2019,0,262,165,262
Hellenic Mediterranean University,2020-2021,Accounting and Finance,07/05/2019,2,464,327,464
Hellenic Mediterranean University,2020-2021,Mechanical Engineering,01/07/2019,0,187,141,187
Hellenic Mediterranean University,2020-2021,Music Technology and Acoustics,06/09/1999,0,255,144,255
Hellenic Mediterranean University,2020-2021,Nursing,07/05/2019,0,314,187,314
Hellenic Mediterranean University,2020-2021,Nutrition and Dietetics,06/09/1999,57,803,0,314
Hellenic Mediterranean University,2020-2021,Business Administration,05/06/2013,35,837,0,608
Hellenic Mediterranean University,2020-2021,Business Administration,05/06/2013,67,1172,0,423
Hellenic Mediterranean University,2020-2021,Tourism Business and Hospitality Management,05/06/2013,28,1084,0,505
Hellenic Mediterranean University,2020-2021,Electrical Engineering,07/05/2019,32,1075,0,441
Hellenic Mediterranean University,2020-2021,Electronic Engineering,24/11/1983,47,1147,0,422
Hellenic Mediterranean University,2020-2021,Social Work,05/06/2013,103,777,0,419
Hellenic Mediterranean University,2020-2021,Accounting and Finance,05/06/2013,130,3142,0,740
Hellenic Mediterranean University,2020-2021,Music Technology and Acoustics Engineering,06/09/1999,29,1319,0,401
Hellenic Mediterranean University,2020-2021,Informatics Engineering,05/06/2013,94,1662,0,622
Hellenic Mediterranean University,2020-2021,Natural Resources and Environment Engineering,06/09/1999,47,650,0,352
Hellenic Mediterranean University,2020-2021,Mechanical Engineering,05/06/2013,70,1341,0,465
Hellenic Mediterranean University,2020-2021,Nursing,24/11/1983,185,551,0,405
Hellenic Mediterranean University,2020-2021,Civil Construction Works,05/06/2013,2,0,0,0
Hellenic Mediterranean University,2020-2021,Agricultural Technologists,05/06/2013,74,1408,1,607
Ionian University,2020-2021,"Archival Science, Library Science and Museology",20/03/1984,93,834,136,451
Ionian University,2020-2021,Food Science and Technology,01/10/2018,0,308,184,308
Ionian University,2020-2021,History,20/03/1984,105,1131,180,650
Ionian University,2020-2021,Music Studies,01/09/1992,66,833,118,680
Ionian University,2020-2021,"Foreign Languages, Translation and Interpretation",20/03/1984,144,895,140,611
Ionian University,2020-2021,Environment,01/10/2018,0,246,131,246
Ionian University,2020-2021,Informatics,22/07/2004,39,980,169,710
Ionian University,2020-2021,Sound and Image Arts,22/07/2004,41,952,102,626
Ionian University,2020-2021,Tourism,01/10/2018,0,184,133,184
Ionian University,2020-2021,Digital Media and Communication,01/10/2018,3,397,285,397
Ionian University,2020-2021,Business Administration,05/06/2013,58,722,0,390
Ionian University,2020-2021,Tourism Business and Hospitality Management,05/06/2013,13,500,0,455
Ionian University,2020-2021,Conservation of Antiquities and Works of Art,05/06/2013,9,340,0,37
Ionian University,2020-2021,Sound Technology and Musical Instruments,20/06/2003,35,606,0,407
Ionian University,2020-2021,Food Technology,05/06/2013,27,608,0,326
Ionian University,2020-2021,Natural Environment Technologies,05/06/2013,12,588,0,243
Ionian University,2020-2021,Digital Media and Communication,05/05/2014,33,787,0,555
Athens University of Economics and Business,2020-2021,International and European Economic Studies,01/09/1989,114,1569,178,866
Athens University of Economics and Business,2020-2021,Management Science and Technology,01/09/2000,132,1453,203,1053
Athens University of Economics and Business,2020-2021,Accounting and Finance,06/09/1999,247,1921,270,1303
Athens University of Economics and Business,2020-2021,Marketing and Communication,01/09/1989,168,1607,255,1112
Athens University of Economics and Business,2020-2021,Economic Science,01/09/1984,279,5559,296,1545
Athens University of Economics and Business,2020-2021,Business Administration,01/09/1984,359,6637,381,1948
Athens University of Economics and Business,2020-2021,Informatics,01/09/1984,171,2998,293,1514
Athens University of Economics and Business,2020-2021,Statistics,01/09/1989,89,1119,142,612
University of the Aegean,2020-2021,Geography,16/06/1989,60,809,168,624
University of the Aegean,2020-2021,Business Administration,20/03/1984,152,1532,314,982
University of the Aegean,2020-2021,Food Science and Nutrition,21/02/2007,62,792,136,593
University of the Aegean,2020-2021,Preschool Education Sciences and Educational Design,20/03/1984,139,857,186,587
University of the Aegean,2020-2021,Social Anthropology and History,20/03/1984,88,1007,195,619
University of the Aegean,2020-2021,Sociology,16/06/1989,137,782,210,709
University of the Aegean,2020-2021,Mathematics,20/03/1984,122,738,246,195
University of the Aegean,2020-2021,"Mediterranean Studies: Archaeology, Linguistics, International Relations",04/11/1997,89,1472,176,833
University of the Aegean,2020-2021,Economics and Management Engineering,10/03/2000,45,1073,127,742
University of the Aegean,2020-2021,Information and Communication Systems Engineering,04/11/1997,60,1294,199,923
University of the Aegean,2020-2021,Product and Systems Design Engineering,10/03/2000,49,1075,129,823
University of the Aegean,2020-2021,Shipping and Business Services,04/11/1997,130,831,244,749
University of the Aegean,2020-2021,Tourism Economics and Management,15/02/2017,23,236,79,236
University of the Aegean,2020-2021,Primary Education Pedagogy,20/03/1984,161,1038,204,695
University of the Aegean,2020-2021,Environment,20/03/1984,51,667,88,345
University of the Aegean,2020-2021,Cultural Technology and Communication,10/03/2000,92,1050,146,582
University of the Aegean,2020-2021,Statistics and Actuarial - Financial Mathematics,01/09/2018,95,963,178,639
University of the Aegean,2020-2021,Oceanography and Marine Biosciences,04/11/1997,51,947,107,477
University of West Attica,2020-2021,Early Childhood Care and Education,02/03/2018,90,760,167,722
University of West Attica,2020-2021,"Archival Science, Library Science and Information Systems",02/03/2018,47,784,138,676
University of West Attica,2020-2021,Biomedical Sciences,02/03/2018,527,2342,417,2090
University of West Attica,2020-2021,Graphic Design and Visual Communication,02/03/2018,71,1250,218,1070
University of West Attica,2020-2021,Public and Community Health,02/03/2018,206,1078,252,958
University of West Attica,2020-2021,Business Administration,01/09/2018,238,3101,522,2628
University of West Attica,2020-2021,Tourism Management,02/03/2018,83,2209,416,1922
University of West Attica,2020-2021,Food Science and Technology,02/03/2018,92,1011,165,836
University of West Attica,2020-2021,"Wine, Vine and Beverage Sciences",02/03/2018,39,923,136,726
University of West Attica,2020-2021,Occupational Therapy,20/03/2018,118,601,164,571
University of West Attica,2020-2021,Interior Architecture,02/03/2018,63,798,141,681
University of West Attica,2020-2021,Electrical and Electronic Engineering,13/06/2019,36,2641,385,2601
University of West Attica,2020-2021,Social Work,02/03/2018,190,737,195,685
University of West Attica,2020-2021,Accounting and Finance,02/03/2018,169,1767,281,1440
University of West Attica,2020-2021,Midwifery,01/09/2018,97,847,164,772
University of West Attica,2020-2021,Biomedical Engineering,02/03/2018,15,756,122,743
University of West Attica,2020-2021,Industrial Design and Production Engineering,23/07/2019,26,1929,356,1927
University of West Attica,2020-2021,Informatics and Computer Engineering,24/11/1983,37,2105,309,1944
University of West Attica,2020-2021,Surveying and Geoinformatics Engineering,02/03/2018,11,644,128,639
University of West Attica,2020-2021,Mechanical Engineering,02/03/2018,46,1424,227,1419
University of West Attica,2020-2021,Naval Architects,13/06/2019,21,627,112,622
University of West Attica,2020-2021,Nursing,02/03/2018,259,1064,280,970
University of West Attica,2020-2021,Civil Engineering,02/03/2018,52,1604,291,1578
University of West Attica,2020-2021,Conservation of Antiquities and Works of Art,02/03/2018,14,507,95,418
University of West Attica,2020-2021,Physiotherapy,02/03/2018,68,977,209,888
University of West Attica,2020-2021,Photography and Audiovisual Arts,01/09/2018,44,758,121,643
University of West Attica,2020-2021,Aesthetics and Cosmetology,03/02/2018,14,101,0,3
University of West Attica,2020-2021,Radiology and Radiotherapy,24/11/1983,5,61,0,3
University of West Attica,2020-2021,"Archival Science, Library Science and Information Systems",24/11/1983,6,129,0,0
University of West Attica,2020-2021,Automation,27/11/1985,71,1292,0,10
University of West Attica,2020-2021,Graphic Design,24/11/1983,31,260,0,0
University of West Attica,2020-2021,Public and Community Health,24/11/1983,20,194,0,1
University of West Attica,2020-2021,Business Administration,24/11/1983,35,666,0,12
University of West Attica,2020-2021,Business Administration,28/05/2013,28,1213,0,6
University of West Attica,2020-2021,Tourism Management,24/11/1983,4,357,0,0
University of West Attica,2020-2021,Tourism Business and Hospitality Management,24/11/1983,8,386,0,2
University of West Attica,2020-2021,Commerce and Advertising,24/11/1983,12,398,0,1
University of West Attica,2020-2021,Occupational Therapy,24/11/1983,9,90,0,1
University of West Attica,2020-2021,"Interior Architecture, Decoration and Object Design",24/11/1983,21,232,0,3
University of West Attica,2020-2021,Electrical Engineering,24/11/1983,36,1744,0,54
University of West Attica,2020-2021,Electronic Engineering,24/11/1983,30,694,0,29
University of West Attica,2020-2021,Electronic Engineering,24/11/1973,20,1412,0,18
University of West Attica,2020-2021,Medical Laboratories,24/11/1983,9,115,0,0
University of West Attica,2020-2021,Textile Engineering,24/11/1983,10,818,0,27
University of West Attica,2020-2021,Social Work,24/11/1983,11,126,0,4
University of West Attica,2020-2021,Accounting and Finance,24/11/1983,37,2093,0,6
University of West Attica,2020-2021,Midwifery,24/11/1983,2,75,0,3
University of West Attica,2020-2021,Biomedical Technology Engineering,24/11/1983,27,298,0,18
